Video_ID,Title,Channel_Name,Views,Likes,Comments,Age_In_Days,Engagement_Rate_%,Views_Per_Day,Video_URL,Description_Length
a2vJLW0ZkX0,Sagawa1gou funny video 😂😂😂 | SAGAWA Best Shorts 2022 #shorts,Sagawa /さがわ,190515002,1600000,9872,1318,0.845,144548.56,https://www.youtube.com/shorts/a2vJLW0ZkX0,0
RlSAFOFCQlE,POV: you forgot she has a tail… (yoga janelle monae) #yoga #shorts #funny,brookecarolineb,141796,2200,34,3,1.5755,47265.33,https://www.youtube.com/shorts/RlSAFOFCQlE,130
RxMwhHzZvuU,WHERE DOES THE TIME GO?🥹💞 #shorts #sisters #bestfriends,The Mir Fam,25967020,171000,0,509,0.6585,51015.76,https://www.youtube.com/shorts/RxMwhHzZvuU,0
fHJG5ahdrIg,"#pov ""Attractive"" and""unattractive"" are both treated differently… #shorts #youtubeshorts",Bianca Limon,7842230,116000,941,635,1.4912,12349.97,https://www.youtube.com/shorts/fHJG5ahdrIg,0
Zjz_G84TxJM,Sport prank with girl! 😂 #shorts,Bugworkout,69879126,529000,1417,1637,0.759,42687.31,https://www.youtube.com/shorts/Zjz_G84TxJM,14
k3J4h7285hg,This was unexpected 😩 #jonathanjoly #shorts #daughter ￼,Jonathan Joly,18884172,122000,802,299,0.6503,63157.77,https://www.youtube.com/shorts/k3J4h7285hg,0
J0iIQ629N2c,Most Popular Candies Platter #shorts #short #asmr #platter #candy #nerds #starburst #candyfunhouse,Candy Funhouse,106975443,1700000,5945,1012,1.5947,105706.96,https://www.youtube.com/shorts/J0iIQ629N2c,0
IyQp9VxvN9g,Sneaking Into Movies 🍿 | Stranger Things S3E2 #Shorts,JaiceNoir,64356392,886000,2050,175,1.3799,367750.81,https://www.youtube.com/shorts/IyQp9VxvN9g,86
OE6JqTSbajE,RAINBOW HAIR TRANSFORMATION! #shorts #dlafam #londyn,THE DLA FAM ,5046698,65000,5117,163,1.3894,30961.34,https://www.youtube.com/shorts/OE6JqTSbajE,0
aKn7tPs_yaU,New Kids EMBARRASSING School Lunch 😆🤡 #shorts #storytime #elliotsimms,ElliotSimms,749723,26000,376,3,3.5181,249907.67,https://www.youtube.com/shorts/aKn7tPs_yaU,0
XBDFfu7CGF4,Perks of being in the front row #shorts,Alex Sampson,14761306,452000,1042,186,3.0691,79361.86,https://www.youtube.com/shorts/XBDFfu7CGF4,0
SuhrwhAYH7o,I Tried Youtube Shorts for 30 Days (realistic results),Ollex,276240,8500,820,217,3.3739,1273.0,https://www.youtube.com/watch?v=SuhrwhAYH7o,388
v6FGCb69OYY,LOSER CANT USE THEIR PHONE FOR A WEEK!😨 #shorts,Isaac & Andrea,2104605,18000,496,3,0.8788,701535.0,https://www.youtube.com/shorts/v6FGCb69OYY,517
IRYkf96Uy60,Short height wali ladki ka dukh 😢 #sejalgabashorts #shorts #funnyvideos,Sejal Gaba,4186937,17000,417,145,0.416,28875.43,https://www.youtube.com/watch?v=IRYkf96Uy60,39
1jih9UhJdYw,Compact SUV Cars Sale #secondhandcars #usedcars #lucknowcarbazar #shorts #lucknow,Lucknow Ride,502,27,0,1,5.3785,502.0,https://www.youtube.com/watch?v=1jih9UhJdYw,0
gwuIOr8o1iE,Merakit Lego Biggest Dump Truck #diy #lego #shorts,KARAKTOYS,503,5,0,1,0.994,503.0,https://www.youtube.com/watch?v=gwuIOr8o1iE,0
AMjErE9OQ6A,#Lakshmi Niwas #Shorts #Zee TV #Entertainment #Drama,Zee TV,7032,233,0,1,3.3134,7032.0,https://www.youtube.com/watch?v=AMjErE9OQ6A,145
AqRgeiwiLhM,PIKMIN Short Movies - Occupational Hazards - Nintendo Switch,Play Nintendo,117684083,261000,0,1987,0.2218,59227.02,https://www.youtube.com/watch?v=AqRgeiwiLhM,435
PdgjSL0C4gk,HAYATAKU/はやたくFunny Shorts Videos-Hayataku TikTok Competition,HAYATAKU はやたく,15816081,51000,537,545,0.3259,29020.33,https://www.youtube.com/watch?v=PdgjSL0C4gk,188
Ch7DebZ18ZE,Milan juice | Charminar best street food | Classic Tv | #food #shorts,Classic TV,1502,68,2,1,4.6605,1502.0,https://www.youtube.com/watch?v=Ch7DebZ18ZE,398
tIHBCPINP2k,How I Edit Youtube Shorts That Go Viral Everytime,Hals,186764,9000,434,124,5.0513,1506.16,https://www.youtube.com/watch?v=tIHBCPINP2k,422
6XEQotGTlxk,How to make $$$ from Youtube Shorts Automation,Ollex,318170,16000,942,131,5.3248,2428.78,https://www.youtube.com/watch?v=6XEQotGTlxk,1127
P7v04sNi_m4,How To UNFREEZE Your Shorts Channel FAST !,Hals,239717,12000,8492,358,8.5484,669.6,https://www.youtube.com/watch?v=P7v04sNi_m4,343
I9Tz_xvT6lA,World's *MOST* Viewed Minecraft Shorts! (VIRAL CLIPS),PrestonPlayz,3468466,36000,1212,242,1.0729,14332.5,https://www.youtube.com/watch?v=I9Tz_xvT6lA,712
mT8r__Hw5_c,These SPECIAL Weekly Shorts are Insanely Good!,GranaDy,24551,784,74,3,3.4948,8183.67,https://www.youtube.com/watch?v=mT8r__Hw5_c,721
nZhWIOOG3Ws,Worlds MOST Viewed YouTube Shorts! (VIRAL),Infinite,8716351,191000,7055,1635,2.2722,5331.1,https://www.youtube.com/watch?v=nZhWIOOG3Ws,457
OgOW48FAy34,how i make $10k+ a month with youtube shorts (full guide),moneyboymax,8527,568,136,5,8.2561,1705.4,https://www.youtube.com/watch?v=OgOW48FAy34,783
C6Z_nSHYP3U,Youtube Shorts That Are Actually Relatable,Chuff Reacts,1201844,11000,593,286,0.9646,4202.25,https://www.youtube.com/watch?v=C6Z_nSHYP3U,4832
27XnIdWyqLs,Hamood Habibi Meme in Minecraft! #shorts,Moose Shorts,12011471,1300,52,1511,0.0113,7949.35,https://www.youtube.com/watch?v=27XnIdWyqLs,343
srDpvEnGQg4,My $75K YouTube Shorts System - Full Course In 19 Minutes (Copy My 800M Views Strategy),E'Calm,65873,3600,176,4,5.7322,16468.25,https://www.youtube.com/watch?v=srDpvEnGQg4,2539
0wb2BEZ6vIA,CRINGE ROBLOX SHORTS,Glitch,2212450,38000,4807,553,1.9348,4000.81,https://www.youtube.com/watch?v=0wb2BEZ6vIA,383
ye7oyKkzOpo,Shopping with my Dad #shorts,Sierra and Rhia English,12358071,17000,0,1060,0.1376,11658.56,https://www.youtube.com/watch?v=ye7oyKkzOpo,80
ZjIko5ZiDZ4,YouTube Shorts : Brain Drain,Flazefire,189619,20000,2207,17,11.7114,11154.06,https://www.youtube.com/watch?v=ZjIko5ZiDZ4,341
NB6lnoyvX1k,Best Of The GERMAN German Shepherd! #germanshepherd #dogs #pets #shorts,Rufus Goodboy,1462083,16000,323,312,1.1164,4686.16,https://www.youtube.com/watch?v=NB6lnoyvX1k,170
4PWQwZjhQoQ,THE BEST SHORTS !! - COMPILATION,VITMI,3861480,52000,2506,191,1.4115,20217.17,https://www.youtube.com/watch?v=4PWQwZjhQoQ,23
lZI92CCSdf4,World's *MOST* Viewed YouTube Shorts!,Foltyn Reacts,3243279,37000,3051,280,1.2349,11583.14,https://www.youtube.com/watch?v=lZI92CCSdf4,1390
hfkt5dahPdc,Maruti vs Maruti - Kitni hain end main VALUE?! | Ankur Warikoo #shorts,warikoo,16560,711,13,1,4.372,16560.0,https://www.youtube.com/watch?v=hfkt5dahPdc,2929
QJfQfZpwydQ,How to Upload Shorts on YouTube the Right Way To Get More Views | SEO 2025,Jazi Studioz,329890,17000,7319,417,7.3719,791.1,https://www.youtube.com/watch?v=QJfQfZpwydQ,1080
dSyDjopiU7I,#Meghasandesam #Shorts #Zee Telugu #Entertainment #Drama,Zee Telugu,4095,110,0,1,2.6862,4095.0,https://www.youtube.com/watch?v=dSyDjopiU7I,149
PNTixRwd7vE,YouTube Shorts Is Actually Worse Than TikTok...17,Balarke,453542,33000,2528,37,7.8335,12257.89,https://www.youtube.com/watch?v=PNTixRwd7vE,952
Dl93kffQnio,Building A Youtube Shorts Channel Until Its Monetized (Ep. 4),Hals,9611,379,84,61,4.8174,157.56,https://www.youtube.com/watch?v=Dl93kffQnio,422
SucaVlvCopE,Worlds *FUNNIEST* Grow a Garden Shorts,PrestonGamez,1851643,14000,1895,249,0.8584,7436.32,https://www.youtube.com/watch?v=SucaVlvCopE,1595
FDsQGJTNItg,how to 8x your views on youtube shorts,Deven Seenath,5979,358,57,6,6.941,996.5,https://www.youtube.com/watch?v=FDsQGJTNItg,309
DhN4B8J3HzA,THIS WAS TOO FUNNY 🤣🤣#dance #shorts #short,Venus Monee,8755497,58000,377,288,0.6667,30401.03,https://www.youtube.com/shorts/DhN4B8J3HzA,0
DntmpGPvZxo,When You Mess With A Dog #Shorts,Luke Davidson,9089235,316000,2975,627,3.5094,14496.39,https://www.youtube.com/shorts/DntmpGPvZxo,0
ikcO_fxzwVU,They are always sitting together 🥹♥️@jordanmatter #shorts #kaido #salishmatter #shortsfeed,Salish Luhv,3854779,36000,645,160,0.9506,24092.37,https://www.youtube.com/shorts/ikcO_fxzwVU,0
IQ14AVePD_g,How Life Starts #Shorts,Luke Davidson,49053533,548000,9377,254,1.1363,193124.15,https://www.youtube.com/shorts/IQ14AVePD_g,0
y-ZOvOmCf48,new trio ❤️ #shorts #shortsviral #tiktok,ROCK SQUAD,22872335,110000,16079,214,0.5512,106880.07,https://www.youtube.com/shorts/y-ZOvOmCf48,544
5H0YBRbKaN8,Wait for it.. #school #pov #funny #comedyvideos #shorts #short #relatable,Brooke Monk,16293901,581000,2183,619,3.5791,26322.94,https://www.youtube.com/shorts/5H0YBRbKaN8,0
Z-z3NvGtN_o,I Recreated VIRAL YouTube Shorts!,Team Jesser,2489518,16000,607,424,0.6671,5871.5,https://www.youtube.com/watch?v=Z-z3NvGtN_o,466
UE6J-XG6I4M,She’s SO FLEXIBLE! 😱👀🤣 | Triple Charm #Shorts,Triple Charm,48830791,441000,19424,531,0.9429,91960.06,https://www.youtube.com/shorts/UE6J-XG6I4M,0
cI_qClch6v8,So'yloq tishdan Make up #blogger #food #shorts #love #family #short #shortsvideo #rels #instagtam,SHAHLO GANIJONOVA,1161219,0,0,553,0.0,2099.85,https://www.youtube.com/watch?v=cI_qClch6v8,130
WGGleHRHnlU,Eid py aaya bohat maza ❤️ #funny #trending #comedy #youtubeshorts #shorts,Abdullah Tariq Khan,4292680,6900,119,282,0.1635,15222.27,https://www.youtube.com/watch?v=WGGleHRHnlU,0
6aG36N_Fq00,Pink Tumbler 🩷 #asmr #restock #tumbler #satisfying #relaxing #fyp #pink #aesthetic #shorts,caitlin iola ,4603058,75000,379,300,1.6376,15343.53,https://www.youtube.com/shorts/6aG36N_Fq00,0
Yc4uoW78OMA,😲Short डालते ही Viral 📈| How to viral short video | Short video viral tips and tricks,Yt Aman Tech,183625,7300,5554,27,7.0001,6800.93,https://www.youtube.com/watch?v=Yc4uoW78OMA,4849
WUJhYv_PitI,सबसे आसान चैनल IDEA 🔥 | पहले ही Shorts Viral 101% | How to create viral shorts,Mr Deepak k Facts,738170,18000,1520,187,2.6444,3947.43,https://www.youtube.com/watch?v=WUJhYv_PitI,3549
